date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:58:19	35593/35593	U-----	200	untouched ('OK')	text/html	date:Sat,%2014%20Dec%202019%2014:59:57%20GMT	https://inspirothemes.com/polo/header-logo-responsive.html	C:/My%20Web%20Sites/POLO%20FARC%20Template/inspirothemes.com/polo/header-logo-responsive.html	(from https://inspirothemes.com/polo/index.html)
07:58:20	2316/2316	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2025%20Jun%202019%2007:06:52%20GMT	https://inspirothemes.com/polo/preview/images/new-badge.png	C:/My%20Web%20Sites/POLO%20FARC%20Template/inspirothemes.com/polo/preview/images/new-badge.17d.delayed	(from https://inspirothemes.com/polo/css/style.css)
07:59:22	35571/35571	U-----	200	untouched ('OK')	text/html	date:Sat,%2014%20Dec%202019%2014:59:57%20GMT	https://inspirothemes.com/polo/header-menu-right.html	C:/My%20Web%20Sites/POLO%20FARC%20Template/inspirothemes.com/polo/header-menu-right.html	(from https://inspirothemes.com/polo/index.html)
07:59:22	35570/35570	U-----	200	untouched ('OK')	text/html	date:Sat,%2014%20Dec%202019%2014:59:57%20GMT	https://inspirothemes.com/polo/header-menu-left.html	C:/My%20Web%20Sites/POLO%20FARC%20Template/inspirothemes.com/polo/header-menu-left.html	(from https://inspirothemes.com/polo/index.html)
07:59:22	35571/35571	U-----	200	untouched ('OK')	text/html	date:Sat,%2014%20Dec%202019%2014:59:57%20GMT	https://inspirothemes.com/polo/header-menu-center.html	C:/My%20Web%20Sites/POLO%20FARC%20Template/inspirothemes.com/polo/header-menu-center.html	(from https://inspirothemes.com/polo/index.html)
07:59:22	36304/36304	U-----	200	untouched ('OK')	text/html	date:Sat,%2014%20Dec%202019%2014:59:57%20GMT	https://inspirothemes.com/polo/menu.html	C:/My%20Web%20Sites/POLO%20FARC%20Template/inspirothemes.com/polo/menu.html	(from https://inspirothemes.com/polo/index.html)
08:00:24	36702/36702	U-----	200	untouched ('OK')	text/html	date:Sat,%2014%20Dec%202019%2014:59:57%20GMT	https://inspirothemes.com/polo/menu-sub-title.html	C:/My%20Web%20Sites/POLO%20FARC%20Template/inspirothemes.com/polo/menu-sub-title.html	(from https://inspirothemes.com/polo/index.html)
08:00:24	34690/34690	U-----	200	untouched ('OK')	text/html	date:Sat,%2014%20Dec%202019%2014:59:57%20GMT	https://inspirothemes.com/polo/menu-split.html	C:/My%20Web%20Sites/POLO%20FARC%20Template/inspirothemes.com/polo/menu-split.html	(from https://inspirothemes.com/polo/index.html)
08:00:24	36329/36329	U-----	200	untouched ('OK')	text/html	date:Sat,%2014%20Dec%202019%2014:59:57%20GMT	https://inspirothemes.com/polo/menu-lowercase.html	C:/My%20Web%20Sites/POLO%20FARC%20Template/inspirothemes.com/polo/menu-lowercase.html	(from https://inspirothemes.com/polo/index.html)
08:00:24	36241/36241	U-----	200	untouched ('OK')	text/html	date:Sat,%2014%20Dec%202019%2014:59:57%20GMT	https://inspirothemes.com/polo/menu-overlay.html	C:/My%20Web%20Sites/POLO%20FARC%20Template/inspirothemes.com/polo/menu-overlay.html	(from https://inspirothemes.com/polo/index.html)
08:01:26	36347/36347	U-----	200	untouched ('OK')	text/html	date:Sat,%2014%20Dec%202019%2014:59:57%20GMT	https://inspirothemes.com/polo/menu-creative.html	C:/My%20Web%20Sites/POLO%20FARC%20Template/inspirothemes.com/polo/menu-creative.html	(from https://inspirothemes.com/polo/index.html)
08:01:27	36343/36343	U-----	200	untouched ('OK')	text/html	date:Sat,%2014%20Dec%202019%2014:59:57%20GMT	https://inspirothemes.com/polo/menu-lines.html	C:/My%20Web%20Sites/POLO%20FARC%20Template/inspirothemes.com/polo/menu-lines.html	(from https://inspirothemes.com/polo/index.html)
08:01:27	35133/35133	U-----	200	untouched ('OK')	text/html	date:Sat,%2014%20Dec%202019%2014:59:57%20GMT	https://inspirothemes.com/polo/menu-outline-dark.html	C:/My%20Web%20Sites/POLO%20FARC%20Template/inspirothemes.com/polo/menu-outline-dark.html	(from https://inspirothemes.com/polo/index.html)
08:01:27	36385/36385	U-----	200	untouched ('OK')	text/html	date:Sat,%2014%20Dec%202019%2014:59:57%20GMT	https://inspirothemes.com/polo/menu-outline.html	C:/My%20Web%20Sites/POLO%20FARC%20Template/inspirothemes.com/polo/menu-outline.html	(from https://inspirothemes.com/polo/index.html)
08:02:29	36356/36356	U-----	200	untouched ('OK')	text/html	date:Sat,%2014%20Dec%202019%2014:59:57%20GMT	https://inspirothemes.com/polo/menu-outline-light.html	C:/My%20Web%20Sites/POLO%20FARC%20Template/inspirothemes.com/polo/menu-outline-light.html	(from https://inspirothemes.com/polo/index.html)
08:02:29	35186/35186	U-----	200	untouched ('OK')	text/html	date:Sat,%2014%20Dec%202019%2014:59:57%20GMT	https://inspirothemes.com/polo/menu-rounded-dark.html	C:/My%20Web%20Sites/POLO%20FARC%20Template/inspirothemes.com/polo/menu-rounded-dark.html	(from https://inspirothemes.com/polo/index.html)
08:02:30	35186/35186	U-----	200	untouched ('OK')	text/html	date:Sat,%2014%20Dec%202019%2014:59:57%20GMT	https://inspirothemes.com/polo/menu-rounded.html	C:/My%20Web%20Sites/POLO%20FARC%20Template/inspirothemes.com/polo/menu-rounded.html	(from https://inspirothemes.com/polo/index.html)
08:02:30	35186/35186	U-----	200	untouched ('OK')	text/html	date:Sat,%2014%20Dec%202019%2014:59:57%20GMT	https://inspirothemes.com/polo/menu-rounded-light.html	C:/My%20Web%20Sites/POLO%20FARC%20Template/inspirothemes.com/polo/menu-rounded-light.html	(from https://inspirothemes.com/polo/index.html)
08:03:31	36324/36324	U-----	200	untouched ('OK')	text/html	date:Sat,%2014%20Dec%202019%2014:59:57%20GMT	https://inspirothemes.com/polo/menu-left.html	C:/My%20Web%20Sites/POLO%20FARC%20Template/inspirothemes.com/polo/menu-left.html	(from https://inspirothemes.com/polo/index.html)
08:03:32	36326/36326	U-----	200	untouched ('OK')	text/html	date:Sat,%2014%20Dec%202019%2014:59:57%20GMT	https://inspirothemes.com/polo/menu-center.html	C:/My%20Web%20Sites/POLO%20FARC%20Template/inspirothemes.com/polo/menu-center.html	(from https://inspirothemes.com/polo/index.html)
08:03:32	46328/46328	U-----	200	untouched ('OK')	text/html	date:Sat,%2014%20Dec%202019%2014:59:57%20GMT	https://inspirothemes.com/polo/menu-dots.html	C:/My%20Web%20Sites/POLO%20FARC%20Template/inspirothemes.com/polo/menu-dots.html	(from https://inspirothemes.com/polo/index.html)
